title,label,label_score,preprocessed_text,vectorized_text,is_exclamation,is_question,is_multiple_exclamation
"Masuk Radar Pilwalkot Medan, Menantu Jokowi Bertemu DPW NasDem Sumut",non-clickbait,0,masuk radar pilwalkot medan menantu jokowi bertemu dpw nasdem sumut,"[3, 2636, 7977, 4248, 30943, 1681, 4462, 17381, 15071, 3854, 8668, 1030, 25441, 2105, 1565, 1]",0,0,0
Malaysia Sudutkan RI: Isu Kabut Asap hingga Invasi Babi,non-clickbait,0,malaysia sudutkan ri isu kabut asap invasi babi,"[3, 3678, 5763, 1507, 2602, 6560, 15934, 11353, 7048, 7871, 1]",0,0,0
Viral! Driver Ojol di Bekasi Antar Pesanan Makanan Pakai Sepeda,clickbait,1,viral driver ojol bekasi pesanan makanan pakai sepeda,"[3, 26523, 14126, 31845, 1547, 9298, 15521, 2996, 13532, 7365, 1]",1,0,0
"Kemensos Salurkan Rp 7,3 M bagi Korban Kerusuhan Sosial di Papua",non-clickbait,0,kemensos salurkan rp m korban kerusuhan sosial papua,"[3, 3168, 6362, 1018, 2298, 2740, 5076, 52, 4510, 10007, 3073, 5369, 1]",0,0,0
"Terkait Mayat Bayi Mengenaskan di Tangerang, Seorang Pria Ditangkap Polisi",non-clickbait,0,terkait mayat bayi mengenaskan tangerang pria ditangkap polisi,"[3, 4144, 10966, 6099, 2610, 2541, 8690, 3907, 5706, 4476, 1]",0,0,0
"Uang Rp 1,6 M yang Raib di Parkiran Kantor Gubernur Sumut untuk Honor TAPD",non-clickbait,0,uang rp m raib parkiran kantor gubernur sumut honor tapd,"[3, 3714, 5076, 52, 10363, 1013, 10199, 1487, 3564, 3840, 2105, 1565, 16017, 7776, 1006, 1]",0,0,0
MPR: Amandemen UUD 1945 Tak Akan Melebar ke Mana-mana,non-clickbait,0,mpr amandemen uud melebar,"[3, 11978, 29002, 2686, 17260, 21823, 1]",0,0,0
Muncul Istana di Tengah Rekonsiliasi Rusuh Papua,non-clickbait,0,muncul istana rekonsiliasi rusuh papua,"[3, 2752, 3705, 20956, 4111, 1612, 5369, 1]",0,0,0
"Peringati Tahun Baru Islam, Banyuwangi Kembali Gelar Festival Muharam",non-clickbait,0,peringati islam banyuwangi gelar festival muharam,"[3, 5998, 1702, 2638, 10264, 2839, 3848, 30116, 1497, 1]",0,0,0
"Wanita Asal Kendari Nyaris Diperkosa di Jalanan Makassar, Pelaku Diburu",non-clickbait,0,wanita kendari diperkosa jalanan makassar pelaku diburu,"[3, 2877, 24148, 29468, 10101, 6760, 8652, 23725, 1]",0,0,0
HNW Sebut GBHN Jamin Rencana Pembangunan RI Jangka Panjang,non-clickbait,0,hnw gbhn jamin rencana pembangunan ri jangka,"[3, 47, 1010, 1030, 15624, 19730, 12374, 1010, 4215, 3128, 2602, 5406, 1]",0,0,0
"Ada Motor Nyangkut di Atas Bambu di Sleman, Kok Bisa?",clickbait,1,motor nyangkut bambu sleman,"[3, 4818, 3018, 9563, 31229, 7897, 16072, 1]",0,1,0
JakPro Jawab Protes Adhi Karya soal Tender Proyek JIS Diberi ke Wika,non-clickbait,0,jakpro protes adhi karya tender proyek jis wika,"[3, 10980, 16109, 5295, 19228, 1012, 2328, 26272, 3583, 2566, 1018, 8773, 1007, 1]",0,0,0
Pesan Gamblang Poyuono Menolak Revisi UU KPK,clickbait,1,pesan gamblang poyuono menolak revisi uu kpk,"[3, 4051, 3441, 9443, 3070, 4727, 3820, 4114, 12835, 8242, 15233, 1]",0,0,0
"Mayat di Ladang Tebu Malang Adalah Begal, Dibunuh Remaja yang Dipalaknya",non-clickbait,0,mayat ladang tebu malang begal dibunuh remaja dipalaknya,"[3, 10966, 8064, 14034, 5709, 4844, 1493, 6227, 5624, 30987, 12660, 1538, 1]",0,0,0
"Jenguk BJ Habibie, Ketua Dewan Pers M Nuh: Prosesnya Positif, Bagus",non-clickbait,0,jenguk bj habibie ketua dewan pers m nuh prosesnya positif bagus,"[3, 25982, 1549, 18929, 17360, 3162, 3076, 2034, 52, 14654, 20019, 5312, 6789, 1]",0,0,0
Lokasi Istana Presiden RI di Papua 15 Menit Lewat Jembatan Holtekamp,non-clickbait,0,lokasi istana presiden ri papua menit jembatan holtekamp,"[3, 3667, 3705, 2601, 2602, 5369, 4545, 4892, 4033, 9094, 1625, 1]",0,0,0
Hiasan Taman Asia Afrika di Bandung Rusak Diterjang Angin Kencang,non-clickbait,0,hiasan taman asia afrika bandung rusak diterjang angin kencang,"[3, 10919, 3589, 3065, 3549, 3786, 7312, 2050, 11836, 5650, 20132, 1]",0,0,0
"Polemik PB Djarum dan KPAI, Fadli Zon: Mestinya Bisa Dimusyawarahkan",non-clickbait,0,polemik pb djarum kpai fadli zon mestinya dimusyawarahkan,"[3, 27465, 11730, 27266, 7806, 1576, 30067, 25913, 31320, 20428, 11586, 1507, 1]",0,0,0
Pengacara Ajukan Penangguhan Penahanan Kivlan Zen,non-clickbait,0,pengacara ajukan penangguhan penahanan kivlan zen,"[3, 9381, 3044, 1648, 16123, 2576, 19047, 4022, 1031, 3749, 11886, 1]",0,0,0
Seorang Pria Depresi Bakar Mobilnya Sendiri di Tempat Pembuangan Akhir,non-clickbait,0,pria depresi bakar mobilnya pembuangan,"[3, 3907, 11101, 4870, 17633, 11469, 1]",0,0,0
Eksepsi Bassist Boomerang Hubert Henry dalam Kasus Ganja Ditolak Hakim,non-clickbait,0,eksepsi bassist boomerang hubert henry ganja ditolak hakim,"[3, 2163, 15910, 25254, 1009, 18213, 3077, 31353, 5569, 24195, 8478, 6127, 1]",0,0,0
"Jenguk BJ Habibie di RSPAD, Kepala BPPT: Beliau Semangat Recovery",non-clickbait,0,jenguk bj habibie rspad kepala bppt beliau semangat recovery,"[3, 25982, 1549, 18929, 17360, 7501, 18716, 2548, 6500, 13005, 5812, 6794, 4731, 18432, 1]",0,0,0
JK Jenguk Habibie di RSPAD Gatot Soebroto,non-clickbait,0,jk jenguk habibie rspad gatot soebroto,"[3, 27074, 25982, 1549, 17360, 7501, 18716, 16565, 20728, 19291, 1]",0,0,0
"Sebuah Mobil Tertimpa Pohon di Pondok Indah, Pengemudi Terluka",non-clickbait,0,mobil tertimpa pohon pondok indah pengemudi terluka,"[3, 3137, 5771, 12244, 3826, 6496, 5659, 15390, 8471, 1]",0,0,0
Demokrat Akan Bangun Museum dan Art Gallery SBY-Ani di Pacitan,non-clickbait,0,demokrat bangun museum art gallery sby ani pacitan,"[3, 5177, 9910, 3822, 3733, 24859, 29553, 22987, 23595, 1]",0,0,0
Mendagri Jamin Pelaksanaan UU Otsus di Papua Dilanjutkan,non-clickbait,0,mendagri jamin pelaksanaan uu otsus papua dilanjutkan,"[3, 1758, 20048, 12374, 1010, 6319, 8242, 3595, 4325, 5369, 7081, 1]",0,0,0
KPK Cegah Ketua Fraksi Golkar Melchias Mekeng ke Luar Negeri,non-clickbait,0,kpk cegah ketua fraksi golkar melchias mekeng negeri,"[3, 15233, 12370, 1515, 1015, 3162, 9466, 12079, 1626, 29192, 1018, 8330, 1523, 2300, 1]",0,0,0
"Tegaskan Dukung Pemerintah, PD: Kami Tak Pernah Kenal Oposisi",non-clickbait,0,tegaskan dukung pemerintah pd kenal oposisi,"[3, 11441, 1507, 14554, 1014, 2357, 5447, 12424, 9546, 1]",0,0,0
"Peredaran Snack Tanpa Izin Dibongkar, Omzet Sebulan Capai Rp 1,5 Miliar",non-clickbait,0,peredaran snack izin dibongkar omzet sebulan capai rp miliar,"[3, 19516, 6520, 2889, 6578, 16570, 5611, 5995, 1009, 12188, 4879, 1576, 5076, 5098, 1]",0,0,0
"Mayat Pria Ditemukan di Kalimalang Bekasi, Diduga Korban Tenggelam",non-clickbait,0,mayat pria ditemukan kalimalang bekasi diduga korban tenggelam,"[3, 10966, 3907, 2751, 3608, 5417, 9298, 6237, 4510, 8823, 1]",0,0,0
"Pesan Anak Habibie ke Penjenguk: Mohon Dimengerti, Bapak Perlu Istirahat",non-clickbait,0,pesan anak habibie penjenguk mohon dimengerti istirahat,"[3, 4051, 1942, 17360, 3057, 1523, 1549, 18586, 18776, 13362, 1]",0,0,0
KPK Curhat Pencegahan Korupsi Tak Dianggap: Banyak Uang Negara Diselamatkan,non-clickbait,0,kpk curhat pencegahan korupsi dianggap uang negara diselamatkan,"[3, 15233, 4536, 8923, 12796, 8535, 2823, 3714, 1844, 12137, 1]",0,0,0
ACT Inisiasi Gerakan Nasional #IndonesiaDermawan,non-clickbait,0,act inisiasi gerakan nasional indonesiadermawan,"[3, 12988, 28733, 3411, 2309, 1766, 5194, 16800, 1]",0,0,0
Demokrat Dukung Langkah Jokowi Bangun Istana di Papua,non-clickbait,0,demokrat dukung langkah jokowi bangun istana papua,"[3, 5177, 14554, 1014, 5468, 15071, 9910, 3705, 5369, 1]",0,0,0
Menkum HAM Sudah Kaji Draf Revisi UU KPK,non-clickbait,0,menkum ham kaji draf revisi uu kpk,"[3, 1504, 31594, 3619, 16823, 1012, 31220, 12835, 8242, 15233, 1]",0,0,0
MPR Gelar Diskusi Evaluasi Pelaksanaan UUD di Yogyakarta,non-clickbait,0,mpr gelar diskusi evaluasi pelaksanaan uud yogyakarta,"[3, 11978, 2839, 9686, 14136, 6319, 17260, 4203, 1]",0,0,0
Detik-detik Lima Kendaraan Alami Kecelakaan Beruntun di Cipularang,clickbait,1,detik detik kendaraan alami kecelakaan beruntun cipularang,"[3, 7346, 7346, 4383, 5400, 5840, 22440, 7479, 6932, 1491, 1]",0,0,0
Kocak! Maling di Rumah Mewah Jakut Terekam CCTV Bingung Cari Jalan Kabur,clickbait,1,kocak maling rumah mewah jakut terekam cctv bingung cari jalan kabur,"[3, 30543, 1500, 31956, 2177, 9780, 10980, 1565, 26911, 18362, 28206, 16341, 11252, 2384, 9608, 1]",1,0,0
"Selidiki Kasus Ular Dibuang di Asrama Papua, Polisi Terganjal Akses Masuk",non-clickbait,0,selidiki ular dibuang asrama papua polisi terganjal akses masuk,"[3, 1617, 10323, 6278, 11627, 10833, 5369, 4476, 1880, 8074, 1011, 5377, 2636, 1]",0,0,0
KPK Tanggapi DPR: Penegakan Hukum Tak Boleh Terikat Komitmen Politik,non-clickbait,0,kpk tanggapi dpr penegakan hukum terikat komitmen politik,"[3, 15233, 28343, 1012, 4430, 18772, 2552, 10068, 12155, 2605, 1]",0,0,0
Kronologi Barista Tikam Siswi SMK Bandung karena Cinta Ditolak,non-clickbait,0,kronologi barista tikam siswi smk bandung cinta ditolak,"[3, 18628, 7823, 1522, 31173, 1017, 13360, 7225, 3786, 4045, 8478, 1]",0,0,0
Pengacara Sebut Dakwaan Kivlan Zen Dipaksakan,non-clickbait,0,pengacara dakwaan kivlan zen dipaksakan,"[3, 9381, 22091, 4022, 1031, 3749, 11886, 9083, 1507, 1]",0,0,0
Polisi Belanda Tembak Mati Istri dan 2 Putrinya Lalu Bunuh Diri,non-clickbait,0,polisi belanda tembak mati istri putrinya bunuh,"[3, 4476, 2452, 12911, 3639, 4011, 8740, 7437, 1]",0,0,0
6 Perampok Bersebo Tembak Warga hingga Tewas di Sumsel,non-clickbait,0,perampok bersebo tembak warga tewas sumsel,"[3, 20640, 13714, 1016, 12911, 3167, 4865, 2105, 6669, 1]",0,0,0
"Tepis Jadi Penyebab Tunggal Kabut Asap, RI Akan Surati Malaysia",non-clickbait,0,tepis penyebab tunggal kabut asap ri surati malaysia,"[3, 5681, 1018, 6488, 4276, 15934, 11353, 2602, 2993, 1012, 3678, 1]",0,0,0
"Jokowi Diminta Mekarkan Wilayah Papua, JK: Ada Undang-undangnya",non-clickbait,0,jokowi mekarkan wilayah papua jk undang undangnya,"[3, 15071, 14589, 1507, 1910, 5369, 27074, 3163, 3163, 1538, 1]",0,0,0
"Respons JK, KPK Sebut SP3 Bisa Disalahgunakan",non-clickbait,0,respons jk kpk sp disalahgunakan,"[3, 15597, 27074, 15233, 1611, 20347, 1773, 1]",0,0,0
"Hampir Seluas Jabar, Ini Tantangan Sintang Siapkan Generasi Emas",clickbait,1,seluas jabar tantangan sintang siapkan generasi emas,"[3, 5790, 25151, 8511, 24341, 4277, 1507, 4591, 4166, 1]",0,0,0
"Viral Video Diduga Baku Tembak di Sleman, Ini Kata Polisi",clickbait,1,viral video diduga baku tembak sleman polisi,"[3, 26523, 3229, 6237, 7874, 12911, 16072, 4476, 1]",0,0,0
Kadis PU dan 2 PNS Kabupaten Mandailing Natal Ditahan Kejati Sumut,non-clickbait,0,kadis pu pns kabupaten mandailing natal ditahan kejati sumut,"[3, 7882, 1018, 3884, 13263, 2198, 17184, 8382, 9442, 2958, 1702, 2105, 1565, 1]",0,0,0
"Banding Ditolak, Hak Politik Eks Bupati Katingan Dicabut Hakim",non-clickbait,0,banding ditolak hak politik eks bupati katingan dicabut hakim,"[3, 12100, 8478, 2780, 2605, 2163, 4585, 2315, 1984, 14712, 6127, 1]",0,0,0
"Gadai SK Hal yang Wajar, DPRD Surabaya: Tak Banyak Bank yang Melirik",non-clickbait,0,gadai sk wajar dprd surabaya bank melirik,"[3, 29735, 1012, 2362, 16932, 6081, 4399, 3634, 19719, 3675, 1]",0,0,0
"Karyawan Pabrik Boneka Keracunan, Polisi Sita Sayur Nangka",non-clickbait,0,karyawan pabrik boneka keracunan polisi sita sayur nangka,"[3, 7547, 4649, 10124, 19048, 4476, 19227, 11573, 25456, 1]",0,0,0
"Kecelakaan Beruntun 4 Kendaraan di Lenteng Agung, 2 Pemotor Luka-luka",non-clickbait,0,kecelakaan beruntun kendaraan lenteng agung pemotor luka luka,"[3, 5840, 22440, 4383, 5244, 22563, 3213, 1596, 10106, 6218, 6218, 1]",0,0,0
"KPK Bongkar Mafia Migas: Transaksi Lintas Negara, Tak Mudah Diungkap",non-clickbait,0,kpk bongkar mafia migas transaksi lintas negara mudah diungkap,"[3, 15233, 30267, 19168, 23159, 10582, 5459, 1844, 3947, 1495, 8785, 1]",0,0,0
"Diawasi di Hong Kong, Aktivis Joshua Wong Terbang ke Berlin",non-clickbait,0,diawasi hong kong aktivis joshua terbang berlin,"[3, 19134, 3581, 3398, 8193, 20509, 4459, 6698, 1]",0,0,0
Anggota DPRD Surabaya Gadaikan SK Sebagai Jaminan untuk Potong Gaji,non-clickbait,0,anggota dprd surabaya gadaikan sk jaminan potong gaji,"[3, 2113, 6081, 4399, 29735, 1740, 2362, 12151, 15510, 12494, 1]",0,0,0
Ical Jenguk BJ Habibie di RSPAD: Kita Doakan yang Terbaik,non-clickbait,0,ical jenguk bj habibie rspad doakan terbaik,"[3, 8182, 1493, 25982, 1549, 18929, 17360, 7501, 18716, 7168, 1507, 2911, 1]",0,0,0
175 Orang dan 4 Korporasi Jadi Tersangka Karhutla di Sumatera-Kalimantan,non-clickbait,0,orang korporasi tersangka karhutla sumatera kalimantan,"[3, 1714, 20357, 14208, 1642, 7967, 1009, 1898, 10765, 4138, 1]",0,0,0
Gubernur Edy Belum Tahu Uang Miliaran Milik Pemprov Hilang,non-clickbait,0,gubernur edy uang miliaran milik pemprov hilang,"[3, 3840, 2645, 1025, 3714, 5098, 1487, 3353, 1596, 28122, 4902, 1]",0,0,0
Giliran Alumni Unnes Serukan Tolak Revisi UU KPK,non-clickbait,0,giliran alumni unnes serukan tolak revisi uu kpk,"[3, 21361, 9325, 1553, 5933, 13729, 1507, 20724, 12835, 8242, 15233, 1]",0,0,0
Fenomena Gadai SK Anggota Dewan Juga Terjadi di DPRD Serang,non-clickbait,0,fenomena gadai sk anggota dewan dprd serang,"[3, 7689, 29735, 1012, 2362, 2113, 3076, 6081, 10411, 1]",0,0,0
Akademisi dan Mahasiswa Unair Tolak Revisi UU KPK,non-clickbait,0,akademisi mahasiswa unair tolak revisi uu kpk,"[3, 12176, 4124, 22912, 1537, 20724, 12835, 8242, 15233, 1]",0,0,0
"Pegawai KPK Surati Fraksi di DPR, Minta Tak Pilih Capim yang Lemahkan KPK",non-clickbait,0,pegawai kpk surati fraksi dpr pilih capim lemahkan kpk,"[3, 6391, 15233, 2993, 1012, 9466, 4430, 12495, 4879, 1550, 7045, 1507, 15233, 1]",0,0,0
"Waspada! Ada Penipuan Catut Pertamina, Korbannya Rugi Puluhan Juta",clickbait,1,waspada penipuan catut pertamina korbannya rugi puluhan juta,"[3, 23226, 18911, 3105, 1565, 17668, 26560, 16693, 9523, 2822, 1]",1,0,0
Ekoturisme: Pelajaran Besar dari Negara Kecil,non-clickbait,0,ekoturisme pelajaran negara,"[3, 19888, 19059, 2259, 5655, 1844, 1]",0,0,0
"Refleksi 5 Tahun DPD RI, OSO: Kami Ada untuk Daerah",non-clickbait,0,refleksi dpd ri oso daerah,"[3, 19893, 16106, 2602, 3700, 1016, 2042, 1]",0,0,0
MUI Riau: Pelaku Karhutla Orang Tak Taat Beragama,non-clickbait,0,mui riau pelaku karhutla orang taat beragama,"[3, 19177, 6704, 8652, 1642, 7967, 1009, 1898, 1714, 15251, 7258, 1]",0,0,0
"Gadaikan SK, Anggota DPRD Jabar Terima Kredit hingga Rp 1 Miliar",non-clickbait,0,gadaikan sk anggota dprd jabar terima kredit rp miliar,"[3, 29735, 1740, 2362, 2113, 6081, 25151, 11249, 9549, 5076, 5098, 1]",0,0,0
Penyelundupan 19.253 Benih Lobster Tujuan Singapura Digagalkan di Makassar,non-clickbait,0,penyelundupan benih lobster tujuan singapura digagalkan makassar,"[3, 31916, 13059, 31696, 3186, 4467, 30257, 6760, 1]",0,0,0
"Kecelakaan Beruntun dan Truk Terbakar di Cipularang, 2 Orang Luka",non-clickbait,0,kecelakaan beruntun truk terbakar cipularang orang luka,"[3, 5840, 22440, 9208, 9484, 7479, 6932, 1491, 1714, 6218, 1]",0,0,0
"Banyak Berita Negatif, HNW Khawatirkan Moral Bangsa Indonesia",non-clickbait,0,berita negatif hnw khawatirkan moral bangsa indonesia,"[3, 4432, 6879, 47, 1010, 1030, 10442, 1507, 8248, 2667, 1766, 1]",0,0,0
KPK Harap Jeratan Eks Dirut Petral Bisa Buka Kotak Pandora Mafia Migas,non-clickbait,0,kpk harap jeratan eks dirut petral buka kotak pandora mafia migas,"[3, 15233, 20793, 2276, 1594, 2163, 1847, 1565, 20544, 1011, 16517, 7430, 27913, 19168, 23159, 1]",0,0,0
Hamas Tembak Jatuh Drone Israel di Jalur Gaza,non-clickbait,0,hamas tembak jatuh drone israel jalur gaza,"[3, 21322, 12911, 3763, 29682, 2392, 3706, 2743, 15916, 1]",0,0,0
JPU Keberatan Kivlan Zen Didampingi Kuasa Hukum dari Militer,non-clickbait,0,jpu keberatan kivlan zen didampingi kuasa hukum militer,"[3, 17538, 1005, 16967, 4022, 1031, 3749, 11886, 15455, 9896, 2552, 2790, 1]",0,0,0
"Jadi Tersangka, Eks Dirut Petral Diduga Terima Suap USD 2,9 Juta",non-clickbait,0,tersangka eks dirut petral diduga terima suap usd juta,"[3, 14208, 2163, 1847, 1565, 20544, 1011, 6237, 11249, 24941, 15695, 2822, 1]",0,0,0
Jaksa: Duit Rp 25 Juta dari Kivlan Zen Modal Mata-matai Wiranto dan Luhut,non-clickbait,0,jaksa duit rp juta kivlan zen modal mata matai wiranto luhut,"[3, 11501, 3343, 1531, 5076, 2822, 4022, 1031, 3749, 11886, 7595, 3122, 3122, 1012, 30683, 2019, 18763, 1565, 1]",0,0,0
"Jaksa Beberkan Senpi-Peluru Tajam Pembelian Kivlan Zen cs, Ini Rinciannya",clickbait,1,jaksa beberkan senpi peluru tajam pembelian kivlan zen cs rinciannya,"[3, 11501, 1756, 19385, 1487, 1861, 4880, 7724, 8948, 11225, 4022, 1031, 3749, 11886, 9522, 11816, 1538, 1]",0,0,0
Dishub Minta Polda Data Kebutuhan E-TLE di Area Perluasan Ganjil Genap,non-clickbait,0,dishub polda data kebutuhan e tle area perluasan ganjil genap,"[3, 1761, 7967, 1013, 16596, 3440, 4608, 44, 15470, 1019, 4790, 10090, 21729, 20305, 1]",0,0,0
Polisi Olah TKP Kecelakaan Maut Tewaskan 3 Orang di Nganjuk,non-clickbait,0,polisi olah tkp kecelakaan maut tewaskan orang nganjuk,"[3, 4476, 3833, 8765, 1029, 5840, 15636, 4865, 1507, 1714, 23389, 1]",0,0,0
"Uang Miliaran Rupiah Milik Pemprov Sumut Hilang, Polisi Turun Tangan",non-clickbait,0,uang miliaran rupiah milik pemprov sumut hilang polisi turun tangan,"[3, 3714, 5098, 1487, 12164, 3353, 1596, 28122, 2105, 1565, 4902, 4476, 4555, 3357, 1]",0,0,0
Menkum HAM soal Cabut Paspor Veronica Koman: Ada Ketentuannya,non-clickbait,0,menkum ham cabut paspor veronica koman ketentuannya,"[3, 1504, 31594, 3619, 9222, 1565, 14992, 4176, 20875, 17930, 1010, 8514, 1538, 1]",0,0,0
Sering Quality Time Bersama Keluarga? Ternyata Ini 3 Manfaatnya!,clickbait,1,quality time keluarga manfaatnya,"[3, 31645, 6900, 2565, 9378, 1538, 1]",1,1,0
"Menteri Jokowi 55% Profesional, Ini Kandidatnya?",clickbait,1,menteri jokowi profesional kandidatnya,"[3, 2788, 15071, 4667, 8489, 1538, 1]",0,1,0
LIPI Desak Jokowi Tolak Revisi UU KPK yang Lumpuhkan Kinerja KPK,non-clickbait,0,lipi desak jokowi tolak revisi uu kpk lumpuhkan kinerja kpk,"[3, 27018, 1849, 1028, 15071, 20724, 12835, 8242, 15233, 23712, 1507, 9045, 15233, 1]",0,0,0
